trialIndex,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime,audioReactionTime,visualResultType,audioResultType,visualStimulusType,audioStimulusType
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
1,True,True,False,False,-1,-1,Miss,Miss,刺激,刺激
2,True,True,False,False,-1,-1,Miss,Miss,普通,普通
3,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
4,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,刺激
5,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
6,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
8,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
9,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
10,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,刺激
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
13,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
14,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
15,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
16,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
18,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
19,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
20,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
1,True,True,False,False,-1,-1,Miss,Miss,普通,普通
2,True,True,False,False,-1,-1,Miss,Miss,普通,普通
3,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
4,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,刺激
5,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
6,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
8,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
9,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
10,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,刺激
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,刺激
13,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
14,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
15,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
16,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
18,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
19,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
20,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
1,True,True,False,False,-1,-1,Miss,Miss,普通,普通
2,True,True,False,False,-1,-1,Miss,Miss,普通,普通
3,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
4,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
5,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
6,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
8,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
9,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
10,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,刺激
13,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,刺激,普通
14,False,True,True,False,-1,-1,CorrectRejection,Miss,刺激,普通
15,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
16,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
18,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
19,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
20,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,刺激
