trialIndex,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
3,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,True,True,True,False,637.102,-1,Hit,Miss
5,False,False,False,True,493.5341,-1,FalseAlarm,CorrectRejection
6,True,False,True,True,563.2747,-1,Hit,CorrectRejection
7,False,True,False,True,410.202,329.8762,FalseAlarm,Hit
8,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
9,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,True,False,True,True,695.1606,-1,Hit,CorrectRejection
11,True,False,False,True,-1,-1,Miss,CorrectRejection
12,False,False,False,True,772.5831,-1,FalseAlarm,CorrectRejection
13,False,True,True,True,-1,379.5966,CorrectRejection,Hit
14,False,False,True,False,-1,238.7088,CorrectRejection,FalseAlarm
15,False,True,False,False,874.766,-1,FalseAlarm,Miss
16,True,True,False,False,-1,-1,Miss,Miss
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,True,False,False,True,-1,-1,Miss,CorrectRejection
20,False,True,True,False,-1,-1,CorrectRejection,Miss
21,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
3,False,True,False,True,50.094,10.2021,FalseAlarm,Hit
4,False,False,False,True,120.1886,-1,FalseAlarm,CorrectRejection
5,False,True,False,True,471.0107,70.5789,FalseAlarm,Hit
6,False,True,True,False,-1,-1,CorrectRejection,Miss
7,True,False,False,True,-1,-1,Miss,CorrectRejection
8,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
9,True,False,False,True,-1,-1,Miss,CorrectRejection
10,True,True,False,False,-1,-1,Miss,Miss
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,True,False,False,True,-1,-1,Miss,CorrectRejection
14,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,True,True,False,False,-1,-1,Miss,Miss
19,True,False,False,True,-1,-1,Miss,CorrectRejection
20,False,True,True,False,-1,-1,CorrectRejection,Miss
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,False,True,True,False,-1,-1,CorrectRejection,Miss
2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
3,False,True,True,False,-1,-1,CorrectRejection,Miss
4,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
5,False,True,True,False,-1,-1,CorrectRejection,Miss
6,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,True,False,False,True,-1,-1,Miss,CorrectRejection
9,True,False,False,True,-1,-1,Miss,CorrectRejection
10,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
12,True,False,False,True,-1,-1,Miss,CorrectRejection
13,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
14,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,True,True,False,False,-1,-1,Miss,Miss
16,True,True,False,False,-1,-1,Miss,Miss
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,True,False,False,True,-1,-1,Miss,CorrectRejection
19,False,True,True,False,-1,-1,CorrectRejection,Miss
20,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
