trialIndex,nValue,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
3,2,True,False,False,True,-1,-1,Miss,CorrectRejection
4,2,True,True,False,False,-1,-1,Miss,Miss
5,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,2,False,True,True,False,-1,-1,CorrectRejection,Miss
7,2,True,True,False,False,-1,-1,Miss,Miss
8,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
9,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,2,False,True,True,False,-1,-1,CorrectRejection,Miss
11,2,True,False,False,True,-1,-1,Miss,CorrectRejection
12,2,False,False,False,False,131.8215,236.391,FalseAlarm,FalseAlarm
13,2,False,True,False,True,50.9015,2.9454,FalseAlarm,Hit
14,2,True,False,True,False,71.7804,0.0001,Hit,FalseAlarm
15,2,False,False,False,False,133.0997,110.9759,FalseAlarm,FalseAlarm
16,2,False,False,False,False,243.9741,83.2169,FalseAlarm,FalseAlarm
17,2,False,False,False,False,41.2689,2.8236,FalseAlarm,FalseAlarm
18,2,False,False,False,False,134.6734,103.2311,FalseAlarm,FalseAlarm
19,2,False,False,False,False,92.8111,63.35,FalseAlarm,FalseAlarm
20,2,True,False,False,True,-1,-1,Miss,CorrectRejection
21,2,False,True,True,False,-1,-1,CorrectRejection,Miss
0,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,1,True,False,True,False,508.8273,204.7743,Hit,FalseAlarm
2,1,False,False,False,True,653.2354,-1,FalseAlarm,CorrectRejection
3,1,False,True,False,False,817.3541,-1,FalseAlarm,Miss
4,1,True,False,False,True,-1,-1,Miss,CorrectRejection
5,1,True,True,False,False,-1,-1,Miss,Miss
6,1,False,False,False,False,168.5485,104.6938,FalseAlarm,FalseAlarm
7,1,False,False,False,False,543.5061,463.1023,FalseAlarm,FalseAlarm
8,1,False,False,False,True,462.1383,-1,FalseAlarm,CorrectRejection
9,1,False,True,True,False,-1,-1,CorrectRejection,Miss
10,1,True,False,False,True,-1,-1,Miss,CorrectRejection
11,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
12,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,1,True,True,False,False,-1,-1,Miss,Miss
14,1,True,False,False,True,-1,-1,Miss,CorrectRejection
15,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,1,False,True,True,False,-1,-1,CorrectRejection,Miss
20,1,False,True,True,False,-1,-1,CorrectRejection,Miss
0,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,1,False,True,True,False,-1,-1,CorrectRejection,Miss
2,1,False,True,True,False,-1,-1,CorrectRejection,Miss
3,1,False,True,True,False,-1,-1,CorrectRejection,Miss
4,1,True,True,False,False,-1,-1,Miss,Miss
5,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,1,True,False,True,False,163.2706,58.7359,Hit,FalseAlarm
7,1,False,True,False,True,105.9521,215.8333,FalseAlarm,Hit
8,1,True,False,False,True,-1,-1,Miss,CorrectRejection
9,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,1,False,False,False,False,276.0085,388.2436,FalseAlarm,FalseAlarm
12,1,True,False,False,True,-1,-1,Miss,CorrectRejection
13,1,True,False,False,True,-1,-1,Miss,CorrectRejection
14,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,1,True,True,False,False,-1,-1,Miss,Miss
18,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
