trialIndex,nValue,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,2,False,True,True,False,-1,-1,CorrectRejection,Miss
3,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,2,True,False,False,True,-1,-1,Miss,CorrectRejection
5,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,2,False,True,True,False,-1,-1,CorrectRejection,Miss
8,2,True,False,False,True,-1,-1,Miss,CorrectRejection
9,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,2,False,True,True,False,-1,-1,CorrectRejection,Miss
12,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,2,True,False,True,False,85.4289,173.6456,Hit,FalseAlarm
14,2,False,False,False,False,59.741,138.1057,FalseAlarm,FalseAlarm
15,2,False,True,False,True,472.7352,346.0872,FalseAlarm,Hit
16,2,True,False,True,False,87.0008,3.5602,Hit,FalseAlarm
17,2,False,False,False,False,85.8128,166.3746,FalseAlarm,FalseAlarm
18,2,True,True,True,False,142.2456,-1,Hit,Miss
19,2,True,True,True,False,117.022,-1,Hit,Miss
20,2,False,False,False,False,580.0264,147.4301,FalseAlarm,FalseAlarm
21,2,False,False,False,False,31.2891,137.2734,FalseAlarm,FalseAlarm
0,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,1,False,False,False,False,526.4581,428.8928,FalseAlarm,FalseAlarm
3,1,True,False,True,False,52.0988,140.3308,Hit,FalseAlarm
4,1,False,True,False,True,115.5087,26.765,FalseAlarm,Hit
5,1,False,False,False,False,489.5532,410.3679,FalseAlarm,FalseAlarm
6,1,True,True,False,False,-1,-1,Miss,Miss
7,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,1,False,True,True,False,-1,-1,CorrectRejection,Miss
9,1,True,False,True,False,266.8927,9.7999,Hit,FalseAlarm
10,1,False,False,False,False,0.0002,79.0758,FalseAlarm,FalseAlarm
11,1,True,True,True,True,110.1906,156.1888,Hit,Hit
12,1,False,False,False,False,362.6478,90.1157,FalseAlarm,FalseAlarm
13,1,False,True,False,True,574.4317,478.632,FalseAlarm,Hit
14,1,True,False,True,True,630.7496,-1,Hit,CorrectRejection
15,1,True,False,False,True,-1,-1,Miss,CorrectRejection
16,1,False,False,False,False,173.1355,108.7656,FalseAlarm,FalseAlarm
17,1,False,True,True,False,-1,-1,CorrectRejection,Miss
18,1,False,False,False,False,137.544,162.1172,FalseAlarm,FalseAlarm
19,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,1,False,False,False,True,317.4146,-1,FalseAlarm,CorrectRejection
0,2,False,False,False,False,360.4866,161.5484,FalseAlarm,FalseAlarm
1,2,False,False,True,False,-1,439.2594,CorrectRejection,FalseAlarm
2,2,True,False,False,True,-1,-1,Miss,CorrectRejection
3,2,True,False,False,True,-1,-1,Miss,CorrectRejection
4,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
5,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,2,False,False,False,False,397.4891,293.5257,FalseAlarm,FalseAlarm
9,2,False,True,True,False,-1,-1,CorrectRejection,Miss
10,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,2,False,True,True,False,-1,-1,CorrectRejection,Miss
12,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
14,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,2,True,True,False,False,-1,-1,Miss,Miss
16,2,True,False,False,True,-1,-1,Miss,CorrectRejection
17,2,False,True,False,True,61.799,109.9716,FalseAlarm,Hit
18,2,True,False,False,True,-1,-1,Miss,CorrectRejection
19,2,False,False,False,True,868.1764,-1,FalseAlarm,CorrectRejection
20,2,False,True,False,True,252.0654,348.3307,FalseAlarm,Hit
21,2,True,True,False,False,-1,-1,Miss,Miss
